total_population,california_county,longitude,latitude,ces_4_0_percentile,low_birth_weight_pctl,cardiovascular_disease_pctl,education_pctl,poverty_pctl,unemployment_pctl
4391,San Bernardino,-117.3219438,34.083291,68.94,46.29,70.05,74.96,85.08,40.6
8240,Kern ,-118.4435603,35.1224846,68.92,72.08,86.99,54.42,70.13,77.1
4103,Los Angeles,-118.1377177,34.0951421,68.91,55.85,40.75,60.45,75.4,46.99
3216,Los Angeles,-118.0988908,34.0644299,68.9,41.93,29.89,93.36,95.41,51.26
4833,Stanislaus ,-120.9695762,37.6436844,68.89,57.56,65.07,52.13,40.11,21.11
5421,Tulare ,-119.1444506,36.3043939,68.87,49.28,72.78,54.07,79.46,88.08
6032,Sutter ,-121.6942945,39.241136,68.86,62.11,73.7,80.18,76.24,83.22
5637,San Mateo,-122.4665822,37.6975415,68.85,97.04,53.61,56.16,47.75,68.4
6943,Nevada ,-121.0349258,39.2143799,68.84,58.2,50.22,43.07,86.97,69.13
5013,Los Angeles,-118.125985,34.0764499,68.82,60.06,15.67,60.15,73,41.84
4916,Los Angeles,-118.1577319,34.6953144,68.81,62.98,85.18,71.88,57.3,53.89
1993,Kern ,-117.7286899,35.7285096,68.8,7.78,97.87,54.21,91.47,98.89
5764,Orange ,-118.0116518,33.7667353,68.78,29.15,60.94,81.14,68,7.14
2906,Los Angeles,-118.1541186,33.9130459,68.77,88.85,41.35,85.59,73.2,26.86
3751,Los Angeles,-118.4198974,33.9953352,68.76,75.76,48.63,68.97,59.37,86.19
2214,Riverside ,-117.2347522,33.943773,68.75,37.23,70.15,78.63,80.78,82.74
4082,San Francisco,-122.4069033,37.7111894,68.73,41.72,23.47,78.13,39.82,82.33
4338,Los Angeles,-118.4112469,33.9979789,68.72,53.16,51.26,77.73,73.76,22.57
6037,Napa ,-122.2740455,38.287748,68.71,66.64,24.1,77.87,51.41,73.41
4328,Los Angeles,-118.0768827,33.8842945,68.7,38.97,65.27,85.4,47.75,86.19
6940,Fresno ,-119.6909521,36.7865743,68.68,80.73,31.97,60.31,64.03,36.44
6182,San Bernardino,-117.422734,34.1030715,68.67,58.02,69.14,86.47,75.4,69.98
3083,San Joaquin,-121.3014143,37.995688,68.66,98,60.33,81.56,98.02,98.59
4122,Butte ,-121.8344873,39.7293637,68.65,19,34.26,41.23,89.66,92.88
5051,Los Angeles,-118.1488613,34.1544547,68.63,24.57,32.79,75.09,81.91,63.42
7769,Los Angeles,-118.008555,33.9760214,68.62,55.61,66.05,37.65,50.4,82.74
5540,San Bernardino,-117.2985044,34.4610778,68.61,76.64,97.98,77.99,91.61,91.27
3247,Los Angeles,-118.3354064,34.2026771,68.6,8.03,38.57,23.3,39.21,64.51
3328,Fresno ,-119.7632087,36.8194482,68.58,79.19,59.12,33.89,78.88,96.02
7957,Santa Cruz,-121.7543133,36.9272406,68.57,54.12,45.03,87.67,81.07,75.38
3215,Los Angeles,-118.1948974,34.1140024,68.56,77.05,48.92,83.8,74.87,81.01
7781,Santa Barbara,-120.4666395,34.6431155,68.55,45.87,71.05,94.19,96.51,96.46
7637,Los Angeles,-118.1205611,33.9049648,68.53,57.1,65.84,56.97,42.41,43.09
6525,San Bernardino,-117.6602067,34.0453895,68.52,35.6,89.61,87.67,61.08,59.38
3861,Sacramento ,-121.3112128,38.5930583,68.51,74.9,81.52,45.18,74.46,51.26
2372,Los Angeles,-118.3071514,34.1035491,68.49,32.27,90.84,36.9,76.62,10.66
4506,Los Angeles,-118.1316021,34.0961677,68.48,62.11,40.75,60.15,66.87,19.59
5163,Los Angeles,-118.5128425,34.2539511,68.47,82.04,62.6,30.87,52.11,62.4
3059,Riverside ,-117.4411265,33.9577091,68.46,19.17,69.32,66.93,44.62,53.89
6202,Fresno ,-119.5325383,36.718129,68.44,43.08,57.38,84.47,82.54,63.42
3225,Los Angeles,-118.3355353,34.1034022,68.43,78.56,18.01,24.12,78.63,69.98
5013,Los Angeles,-118.0620458,33.9822771,68.42,70.16,91.89,47.77,18.18,30.88
7654,San Bernardino,-117.413994,34.0994731,68.41,58.56,77.13,77.99,73.42,81.69
6248,San Bernardino,-117.3367238,34.0821073,68.39,56.12,85.46,80.03,64.5,85.49
3781,Los Angeles,-118.2814216,33.8216423,68.38,32,82.71,60.91,46.61,89.19
4905,San Bernardino,-117.6461154,34.0794803,68.37,60.71,72.93,63.93,30.78,45.78
3657,San Diego,-117.0738536,32.6639283,68.36,16.22,53.1,70.4,82.36,87.39
3951,Ventura ,-119.1486074,34.1719898,68.34,34.77,67.49,95.79,85.5,72.53
4181,Los Angeles,-118.3623219,34.0122748,68.33,98.15,29.05,35.22,26.21,45.78
6029,Ventura ,-119.1860277,34.202819,68.32,74.22,67.7,86.21,79.82,52.52
4367,Los Angeles,-118.3843439,34.0251002,68.31,37.58,53.61,19.29,27.85,23.75
5284,Los Angeles,-118.2597444,34.161482,68.29,32.76,75.36,43.41,52.71,57.25
3454,Fresno ,-119.9214051,36.842753,68.28,78.56,59.55,51.89,42.24,45.78
4387,Alameda ,-122.2102385,37.7807761,68.27,38.18,52.92,79.42,72.4,NA
3650,Merced ,-120.477943,37.3183669,68.26,40.66,93.99,62.22,86.38,95.6
4106,Riverside ,-117.4611828,33.8973389,68.24,15.87,86.54,60.45,40.8,74.74
4159,San Joaquin,-121.285182,38.0025906,68.23,83.31,85.62,79.27,84.91,96.58
4984,Sacramento ,-121.2329326,38.6248503,68.22,42.52,80,27.2,13.04,83.22
3843,Sacramento ,-121.4107461,38.5926289,68.2,94.03,59.5,67.43,91.13,85.83
4758,Los Angeles,-118.4482929,34.3146809,68.19,16.22,57.13,88.09,74.56,49.86
10285,Kern ,-119.0427006,35.2885017,68.18,35.6,84.42,73.63,54.95,89.93
3431,Los Angeles,-118.3925764,34.2820993,68.17,49.62,57.13,75.45,48.44,0.2
6979,San Bernardino,-117.2108858,34.1248922,68.15,72.08,77.58,77.87,70.34,65.63
3025,Los Angeles,-118.2981624,34.0561038,68.14,34.18,10.48,90.15,95.24,83.22
6943,Los Angeles,-118.5128742,34.3736616,68.13,59.24,56.64,84.04,80.11,60.57
8236,Orange ,-118.0152589,33.8355687,68.12,80.51,57.44,49.97,65.54,39.21
4751,Contra Costa,-121.7087615,37.9289646,68.1,63.77,70.15,58.92,54.55,81.69
6522,Los Angeles,-117.9554107,34.1393519,68.09,72.32,34.26,53.13,37.64,72.53
5872,Los Angeles,-118.2413562,33.8522481,68.08,97.16,70.3,24.6,36.8,84.98
3438,Los Angeles,-118.2602407,34.1160806,68.07,9.85,29.89,62.39,41.03,13.18
