chemical,date,latitude,longitude,measurement,units
Nitrate as N,1965-07-14,37.3494,-120.7777,3.4,MG/L
Nitrate as N,1966-05-27,37.2277,-121.0888,0.34,MG/L
Alkalinity as CaCO3,1980-07-16,39.4064,-123.3222,122,MG/L
Nitrate as N,1960-08-11,37.4333,-120.8744,3.2,MG/L
Nitrate as N,1969-05-21,34.7689,-118.2376,2,MG/L
Alkalinity as CaCO3,1951-08-22,34.7603,-118.4659,181,MG/L
Alkalinity as CaCO3,1964-03-26,34.725,-117.4131,118,MG/L
Nitrate as N,1966-03-21,33.7712,-118.0996,0,MG/L
Alkalinity as CaCO3,1962-04-19,34.7686,-118.2365,108,MG/L
Alkalinity as CaCO3,1955-02-18,34.8044,-118.6154,180,MG/L
Alkalinity as CaCO3,1991-04-18,34.6789,-118.2167,161,MG/L
Nitrate as N,1963-08-01,34.7386,-118.4792,2.7,MG/L
Alkalinity as CaCO3,1977-08-02,38.9659,-123.1193,134,MG/L
Nitrate as N,1959-07-23,36.9013,-120.1614,0.47,MG/L
Nitrate as N,1965-06-11,37.0744,-120.3517,0.7,MG/L
Alkalinity as CaCO3,1957-07-24,36.9458,-120.3482,154,MG/L
Lead,1961-08-16,39.7802,-123.2531,20,UG/L
Alkalinity as CaCO3,1965-06-10,36.9878,-119.8802,80,MG/L
Nitrate as N,1965-06-16,36.8869,-120.1251,1.3,MG/L
Alkalinity as CaCO3,1951-08-16,36.84,-120.5422,185,MG/L
Alkalinity as CaCO3,1958-02-11,33.7533,-118.1039,105,MG/L
Nitrate as N,1965-06-09,36.9914,-120.4515,0.5,MG/L
Alkalinity as CaCO3,1953-11-04,33.7533,-118.1039,28,MG/L
Alkalinity as CaCO3,1958-12-10,33.7533,-118.1039,132,MG/L
Nitrate as N,1964-06-17,33.7676,-118.2086,3.7,MG/L
Alkalinity as CaCO3,1966-01-17,33.7676,-118.2086,185,MG/L
Nitrate as N,1963-07-22,33.7676,-118.2522,0,MG/L
Nitrate as N,1956-05-16,33.7712,-118.1126,0.41,MG/L
Alkalinity as CaCO3,1955-10-31,33.7712,-118.1083,149,MG/L
Alkalinity as CaCO3,1962-09-05,33.7676,-118.1083,313,MG/L
Alkalinity as CaCO3,1963-07-17,33.7676,-118.1039,141,MG/L
Nitrate as N,1955-06-07,33.7676,-118.1039,0,MG/L
Alkalinity as CaCO3,1965-06-03,37.1646,-120.0978,156,MG/L
Alkalinity as CaCO3,1966-03-09,37.1199,-120.2763,112,MG/L
Nitrate as N,1963-04-02,37.6383,-118.8932,0,MG/L
Alkalinity as CaCO3,1950-06-23,36.8834,-121.7709,358,MG/L
Alkalinity as CaCO3,1975-09-03,36.905,-121.7074,299,MG/L
Mercury,1981-03-03,36.669,-121.6437,0,UG/L
Alkalinity as CaCO3,1963-04-02,37.6394,-118.894,94,MG/L
Alkalinity as CaCO3,1955-04-13,36.5972,-121.8645,82,MG/L
Nitrate as N,1964-03-29,37.6383,-118.8932,0,MG/L
Alkalinity as CaCO3,1961-07-26,36.6762,-121.7924,38,MG/L
Alkalinity as CaCO3,1961-03-09,37.0366,-120.5974,200,MG/L
Alkalinity as CaCO3,1988-08-08,36.9761,-120.8485,312,MG/L
Nitrate as N,1966-05-27,37.0713,-120.5285,0.61,MG/L
Alkalinity as CaCO3,1984-02-02,37.1016,-120.5585,324,MG/L
Alkalinity as CaCO3,1972-02-17,37.0311,-120.8077,501,MG/L
Nitrate as N,1959-07-31,36.9229,-120.7598,0.2,MG/L
Nitrate as N,1966-05-27,37.0736,-120.5288,0.2,MG/L
Arsenic,1959-10-09,37.3943,-120.8253,0,UG/L
Alkalinity as CaCO3,1980-01-16,37.4052,-120.7617,69,MG/L
Arsenic,1959-05-27,37.3899,-120.6669,10,UG/L
bicarbonate HCO3,2011-05-09,41.8488,-121.3525,715,MG/L
Alkalinity as CaCO3,1959-08-27,41.9872,-120.3252,95,MG/L
Nitrate as N,2012-10-09,41.8833,-120.1307,NA,MG/L
Alkalinity as CaCO3,1961-08-23,41.7839,-120.3782,73,MG/L
Alkalinity as CaCO3,1982-08-25,41.5013,-120.1699,115,MG/L
Nitrate as N,1958-08-02,41.9872,-120.3252,2.3,MG/L
Arsenic,1960-07-29,41.7512,-120.4208,0,UG/L
Alkalinity as CaCO3,1959-08-27,41.9255,-120.5183,115,MG/L
Nitrate as N,2008-10-07,41.6474,-120.1874,0,MG/L
Alkalinity as CaCO3,1966-08-30,41.6472,-120.1802,158,MG/L
Alkalinity as CaCO3,1969-07-16,41.3282,-120.0933,110,MG/L
Alkalinity as CaCO3,1966-08-30,41.3499,-120.1183,107,MG/L
Nitrate as N,1963-09-12,41.3932,-120.5655,0.25,MG/L
Alkalinity as CaCO3,1974-07-18,41.386,-120.5172,188,MG/L
Nitrate as N,1977-08-02,41.4366,-120.4931,0.2,MG/L
Nitrate as N,1957-09-19,41.2375,-121.0926,0.1,MG/L
Nitrate as N,1951-02-21,36.8908,-120.7416,0,MG/L
Nitrate as N,1974-03-11,36.2081,-121.1296,0.9,MG/L
Alkalinity as CaCO3,1983-07-20,36.2516,-121.1388,314,MG/L
Nitrate as N,1978-08-09,35.973,-120.8738,0.5,MG/L
Alkalinity as CaCO3,1967-07-18,36.1718,-121.0487,174,MG/L
Alkalinity as CaCO3,1978-06-23,36.5253,-121.4454,160,MG/L
Nitrate as N,1951-06-28,36.5074,-121.4815,0.1,MG/L
Alkalinity as CaCO3,1985-07-11,36.4767,-121.4315,306,MG/L
Alkalinity as CaCO3,1951-07-02,36.3896,-121.2783,253,MG/L
Alkalinity as CaCO3,1954-08-17,38.2517,-122.2846,132,MG/L
Nitrate as N,1953-07-17,36.5325,-121.9141,0.2,MG/L
Alkalinity as CaCO3,1980-07-22,36.6474,-121.6347,273,MG/L
Alkalinity as CaCO3,1951-07-05,36.6654,-121.6392,195,MG/L
Alkalinity as CaCO3,1961-07-31,36.5289,-121.477,212,MG/L
Alkalinity as CaCO3,1972-08-10,36.7049,-121.7023,43,MG/L
Nitrate as N,1968-08-29,36.687,-121.6977,3.2,MG/L
Alkalinity as CaCO3,1956-08-23,36.7372,-121.7564,410,MG/L
Nitrate as N,1973-08-07,36.4077,-121.2918,1.5,MG/L
Nitrate as N,1962-07-16,36.7767,-121.7833,0.2,MG/L
Nitrate as N,1956-08-28,36.748,-121.7969,0.27,MG/L
Lead,1982-04-12,36.7588,-121.7744,0,UG/L
Lead,1979-05-22,36.7588,-121.7698,10,UG/L
Alkalinity as CaCO3,1959-06-18,36.7336,-121.7833,178,MG/L
Arsenic,1983-06-21,36.6474,-121.6437,0,UG/L
Alkalinity as CaCO3,1975-04-01,36.5972,-121.5942,177,MG/L
Mercury,1984-05-31,36.6115,-121.5671,0,UG/L
Alkalinity as CaCO3,1967-07-05,36.7731,-121.7744,190,MG/L
Alkalinity as CaCO3,1962-07-10,36.5361,-121.8644,94,MG/L
Alkalinity as CaCO3,1955-06-22,36.5325,-121.9005,128,MG/L
Alkalinity as CaCO3,1951-09-15,36.748,-121.7924,159,MG/L
Nitrate as N,1971-03-15,33.8653,-117.817,3.2,MG/L
Alkalinity as CaCO3,1955-04-05,33.6922,-117.8448,166,MG/L
Alkalinity as CaCO3,1964-10-27,33.7689,-117.8831,187,MG/L
Alkalinity as CaCO3,1978-09-01,33.7436,-117.9264,139,MG/L
Nitrate as N,1951-02-07,33.9233,-117.9393,12,MG/L
Alkalinity as CaCO3,1965-11-02,33.9197,-117.9263,295,MG/L
Alkalinity as CaCO3,1975-04-30,33.7472,-117.8789,158,MG/L
Nitrate as N,1962-01-10,33.7106,-117.9251,0,MG/L
Alkalinity as CaCO3,1965-10-14,33.7177,-117.646,291,MG/L
Alkalinity as CaCO3,1966-10-19,33.6917,-117.7548,265,MG/L
Alkalinity as CaCO3,1955-10-27,33.8798,-117.8302,542,MG/L
Alkalinity as CaCO3,1964-09-22,33.7427,-117.82470000000001,219,MG/L
Alkalinity as CaCO3,1967-05-04,33.8509,-117.8345,185,MG/L
Alkalinity as CaCO3,1959-12-04,33.8553,-117.7848,205,MG/L
Alkalinity as CaCO3,1964-09-23,33.8547,-117.8592,148,MG/L
Nitrate as N,1962-12-11,33.7772,-117.8437,2,MG/L
Alkalinity as CaCO3,1957-12-26,33.8473,-117.97,187,MG/L
Alkalinity as CaCO3,1980-04-11,33.8689,-117.7122,342,MG/L
Nitrate as N,1958-07-14,33.9269,-117.8914,2.9,MG/L
Nitrate as N,1961-10-27,33.8881,-117.9648,6.3,MG/L
Alkalinity as CaCO3,1964-04-15,38.3596,-122.2886,108,MG/L
Alkalinity as CaCO3,1987-10-29,35.8432,-120.3764,329,MG/L
Alkalinity as CaCO3,1962-09-13,33.8617,-117.7909,170,MG/L
Alkalinity as CaCO3,1981-08-05,33.7828,-118.0765,107,MG/L
Alkalinity as CaCO3,1976-03-03,33.7764,-118.0765,122,MG/L
Alkalinity as CaCO3,1958-12-23,33.895,-117.837,264,MG/L
Alkalinity as CaCO3,1957-12-26,33.8798,-117.8302,273,MG/L
Alkalinity as CaCO3,1961-12-18,33.8681,-117.8239,206,MG/L
Alkalinity as CaCO3,1969-04-21,33.8086,-117.8689,171,MG/L
Nitrate as N,1964-01-07,33.7749,-118.0966,0,MG/L
Alkalinity as CaCO3,1958-07-23,33.8111,-117.9106,171,MG/L
Alkalinity as CaCO3,1958-08-14,33.8979,-117.9306,267,MG/L
Alkalinity as CaCO3,1964-11-25,33.7821,-117.97,224,MG/L
Alkalinity as CaCO3,1955-02-24,33.6679,-117.8858,196,MG/L
Nitrate as N,1959-02-27,33.6573,-117.9643,3.8,MG/L
Nitrate as N,1963-10-02,33.6786,-117.9775,0.32,MG/L
Nitrate as N,1968-10-17,33.5753,-117.6764,0.07,MG/L
Nitrate as N,1958-07-23,33.6786,-117.9687,0,MG/L
Nitrate as N,1953-09-16,33.7034,-117.9775,0.05,MG/L
Nitrate as N,1966-09-22,33.7106,-117.9949,0.2,MG/L
Nitrate as N,1958-05-22,33.7712,-117.912,1,MG/L
Nitrate as N,1954-04-08,33.7106,-118.0473,6.8,MG/L
Nitrate as N,1966-09-27,33.7249,-118.0341,0.32,MG/L
Alkalinity as CaCO3,1965-11-10,33.7177,-118.0428,164,MG/L
Alkalinity as CaCO3,1959-09-24,33.7731,-117.8314,140,MG/L
Alkalinity as CaCO3,1969-09-29,33.6864,-117.7951,179,MG/L
Nitrate as N,1956-07-19,33.6858,-117.8379,0.27,MG/L
Nitrate as N,1963-09-11,33.6859,-117.942,0.2,MG/L
Nitrate as N,1964-06-17,33.7034,-117.9643,0,MG/L
Alkalinity as CaCO3,1962-01-29,33.7,-117.96,245,MG/L
Nitrate as N,1979-05-17,33.6978,-117.9845,0.61,MG/L
Alkalinity as CaCO3,1964-08-04,33.7,-117.9513,418,MG/L
Alkalinity as CaCO3,1954-04-08,33.7625,-118.0259,181,MG/L
Alkalinity as CaCO3,1968-03-21,33.6323,-117.6852,154,MG/L
Nitrate as N,1965-10-21,33.6288,-117.6896,22,MG/L
Alkalinity as CaCO3,1956-11-27,33.6764,-117.7737,206,MG/L
Alkalinity as CaCO3,1961-03-21,33.7059,-118.0056,183,MG/L
Nitrate as N,1967-10-06,33.6786,-117.8291,17,MG/L
Alkalinity as CaCO3,1952-04-02,33.7034,-118.0211,179,MG/L
Alkalinity as CaCO3,1959-06-17,33.6864,-117.7951,258,MG/L
Alkalinity as CaCO3,1957-04-05,33.6928,-117.9818,165,MG/L
Alkalinity as CaCO3,1954-09-15,33.7,-117.9818,185,MG/L
Alkalinity as CaCO3,1963-09-09,33.7427,-118.0822,67,MG/L
Alkalinity as CaCO3,1952-02-28,33.7177,-118.0167,198,MG/L
Alkalinity as CaCO3,1960-12-27,34.0173,-117.3279,243,MG/L
Nitrate as N,1960-09-21,34.0029,-117.2405,2.3,MG/L
Alkalinity as CaCO3,1956-09-24,34.0029,-117.2405,91,MG/L
Nitrate as N,1971-11-01,33.9884,-117.2231,2.7,MG/L
Nitrate as N,1964-04-24,33.9957,-116.9043,0.2,MG/L
Nitrate as N,1970-04-27,33.9522,-116.8781,0.5,MG/L
Alkalinity as CaCO3,1951-05-18,33.9812,-116.9917,200,MG/L
Nitrate as N,1971-11-30,34.0039,-117.0628,2.5,MG/L
Nitrate as N,1976-05-20,33.9848,-117.0484,1.6,MG/L
Alkalinity as CaCO3,1959-10-30,33.6465,-117.9687,599,MG/L
Nitrate as N,2006-05-17,38.8058,-121.3354,0.05,MG/L
Nitrate as N,1969-07-23,38.8952,-121.3156,5.2,MG/L
Arsenic,1982-09-10,38.8627,-121.1904,0,UG/L
Alkalinity as CaCO3,1962-11-28,33.6715,-117.9513,360,MG/L
Alkalinity as CaCO3,1990-06-25,40.2918,-121.2427,37,MG/L
Alkalinity as CaCO3,1961-09-05,39.8106,-120.2711,62,MG/L
